,number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
528,529,"[[0.22671731 1.71668491]
 [1.90701824 0.08609892]
 [1.87562963 1.26826169]
 [0.18456523 1.34776675]]",2.0,3722,13.0
529,530,"[[1.00709621 0.79355333]
 [1.41927116 0.86606403]
 [1.96583602 0.80373879]
 [1.5567259  1.10757573]]",2.0,3758,43.0
530,531,"[[1.26086208 0.25169131]
 [1.59485355 0.27500167]
 [1.77609799 0.06620669]
 [1.74640578 1.69727848]]",2.0,3761,40.0
531,532,"[[1.03561744 2.0005844 ]
 [1.09618913 1.33512171]
 [1.71142461 1.13165091]
 [0.2622522  2.05585852]]",2.0,3761,39.0
532,533,"[[0.10102386 0.76670679]
 [0.12431747 0.20684669]
 [1.45389157 1.97649502]
 [0.05886273 2.01810546]]",2.0,3818,102.0
533,534,"[[1.92547304 0.68877465]
 [0.74216998 0.16355338]
 [1.03978371 1.7775798 ]
 [0.86087139 0.49057452]]",2.0,3824,102.0
534,535,"[[1.69871615 0.34256009]
 [1.36371543 0.80224848]
 [1.70476937 1.43884175]
 [0.28390713 0.25797857]]",2.0,3833,72.0
535,536,"[[0.83198049 1.25944994]
 [1.90541458 1.3916218 ]
 [1.37367387 1.47007659]
 [0.15325418 0.70421495]]",2.0,3834,73.0
536,537,"[[0.16891125 0.65021812]
 [0.41627127 0.10757105]
 [0.65541698 0.15740869]
 [2.01609109 0.53394043]]",2.0,3835,77.0
537,538,"[[0.71441471 0.34748545]
 [0.24545106 1.49078547]
 [0.34844167 1.03642842]
 [1.02459119 0.33614438]]",2.0,3838,118.0
538,539,"[[0.1252293  1.93254203]
 [0.18925504 0.167438  ]
 [1.25180942 0.73291829]
 [0.28178088 1.35149605]]",2.0,3841,23.0
539,540,"[[1.45951693 1.28040481]
 [0.28657153 0.45002317]
 [0.82519082 1.74693179]
 [0.86297407 0.93310933]]",2.0,3843,19.0
540,541,"[[1.7331582  0.99824774]
 [1.27735536 0.19928881]
 [1.97436    1.7991343 ]
 [0.15270482 0.67355214]]",2.0,3844,9.0
541,542,"[[0.65121942 1.9624399 ]
 [1.46524721 0.71065281]
 [0.55049267 1.26428925]
 [0.39644723 1.46647394]]",2.0,3844,10.0
542,543,"[[1.58773915 0.69732901]
 [1.12135253 1.63320705]
 [0.28332865 0.59324421]
 [1.42285224 0.47487386]]",2.0,3846,13.0
543,544,"[[0.84392348 0.50689188]
 [0.87860234 0.78638055]
 [0.89475642 1.42542846]
 [1.55232098 0.28888117]]",2.0,3855,9.0
544,545,"[[1.53665416 1.72392361]
 [1.52108175 0.40304343]
 [1.91133057 0.44385884]
 [0.69657207 0.57840346]]",2.0,3855,14.0
545,546,"[[0.71782674 0.15687309]
 [0.14847203 0.17063946]
 [1.52454053 0.85309674]
 [2.02282264 1.87554633]]",2.0,3855,12.0
546,547,"[[0.84763728 1.73354898]
 [1.17701791 1.74942558]
 [0.37987101 1.28401307]
 [1.1330713  0.43321427]]",2.0,3855,11.0
547,548,"[[1.75639475 0.20099372]
 [1.49151695 0.31284704]
 [1.49956415 0.84192809]
 [1.33024205 1.87663623]]",2.0,3856,18.0
548,549,"[[0.72110001 1.02501126]
 [1.79405097 0.24045366]
 [0.35185913 1.72077054]
 [0.50840451 0.55410274]]",2.0,3856,12.0
549,550,"[[0.79446919 0.78332578]
 [1.74969083 1.8506667 ]
 [2.01887142 1.8764794 ]
 [0.99914247 0.47770347]]",2.0,3898,43.0
550,551,"[[1.79420094 1.53952731]
 [1.56781283 1.87187482]
 [0.90078915 1.43924655]
 [0.42118589 0.58163286]]",2.0,3902,46.0
551,552,"[[0.24534434 1.22381374]
 [1.97118231 1.37275819]
 [1.7839821  1.57780826]
 [1.96455723 1.67026383]]",2.0,3903,47.0
552,553,"[[1.40787048 1.10023747]
 [1.158629   0.19567498]
 [0.08795342 0.18436235]
 [1.79708789 0.67466227]]",2.0,3907,52.0
553,554,"[[0.55155905 0.78801259]
 [1.77182613 2.0049688 ]
 [2.02894637 1.53559441]
 [0.0981893  0.80712262]]",2.0,3908,53.0
554,555,"[[1.79076752 1.33722123]
 [1.68529355 2.04323857]
 [0.22942449 1.84895508]
 [1.63053796 0.57572256]]",2.0,3915,60.0
555,556,"[[0.77756474 0.85266523]
 [0.23254936 1.8410524 ]
 [0.4954016  0.14654574]
 [1.06381125 0.64737696]]",2.0,3922,19.0
556,557,"[[0.91494849 0.91558109]
 [0.77430142 0.40109489]
 [1.01180104 0.33398108]
 [1.21654883 0.73951765]]",2.0,3923,16.0
557,558,"[[1.98350013 1.44218906]
 [1.76184847 1.24204566]
 [0.75480368 1.05402428]
 [0.29614924 1.81179971]]",2.0,3924,22.0
558,559,"[[1.00927115 1.68893168]
 [0.87340838 0.58785105]
 [1.10709074 0.85110377]
 [1.30470945 1.30197989]]",2.0,3925,10.0
559,560,"[[1.27886081 1.8714849 ]
 [1.05602234 0.6731305 ]
 [1.44485317 1.76005546]
 [1.53824641 1.94662577]]",2.0,3925,17.0
560,561,"[[1.74327672 0.20200982]
 [1.41356237 0.08592575]
 [1.34983307 1.50174083]
 [1.2967577  0.08330994]]",2.0,3990,68.0
561,562,"[[0.95247133 0.93515476]
 [0.07249505 1.26284634]
 [1.18124185 0.94893658]
 [1.95081435 1.51224839]]",2.0,3990,67.0
562,563,"[[1.20420955 1.06009786]
 [1.03593379 1.88183497]
 [2.02745736 0.24223924]
 [0.48193221 1.86353116]]",2.0,3994,96.0
563,564,"[[0.6050396  1.58340187]
 [1.60306813 0.36870067]
 [1.96236522 1.6425459 ]
 [1.07080315 1.71940056]]",2.0,4007,83.0
564,565,"[[1.7283094  1.87907558]
 [0.63588789 1.35043552]
 [1.84288069 0.55444034]
 [0.30563803 0.66370885]]",2.0,4013,88.0
565,566,"[[0.49026079 1.00672312]
 [0.63373439 1.85295235]
 [0.35404288 0.1579704 ]
 [1.04939414 1.12714828]]",2.0,4020,95.0
566,567,"[[2.02783997 0.83837717]
 [0.19172813 1.05785021]
 [1.44620168 1.58018026]
 [1.26654715 0.56796849]]",2.0,4020,30.0
567,568,"[[1.56972379 0.99697255]
 [0.24612165 1.2372305 ]
 [0.53477957 0.32436497]
 [1.34965177 0.2045491 ]]",2.0,4022,9.0
568,569,"[[0.22318928 0.23334923]
 [0.58266751 1.22954368]
 [0.08437486 1.63597962]
 [0.26793141 1.32767185]]",2.0,4022,15.0
569,570,"[[0.82040464 0.48405658]
 [1.00141283 1.60447945]
 [1.43761302 0.3457561 ]
 [1.84473082 0.46533381]]",2.0,4027,33.0
570,571,"[[1.09332429 0.31635364]
 [0.815069   0.11504694]
 [1.02671237 1.73960265]
 [1.56365963 0.44737357]]",2.0,4028,38.0
571,572,"[[1.80524334 0.64041101]
 [0.3407082  0.62628544]
 [0.77010544 1.3478257 ]
 [1.81969714 0.34592743]]",2.0,4035,8.0
572,573,"[[0.58731255 1.42401986]
 [0.60720632 1.42204391]
 [0.2076904  0.88215093]
 [0.32717534 1.51871499]]",2.0,4035,13.0
573,574,"[[1.03909908 1.36496084]
 [1.52669053 1.3815333 ]
 [1.02903896 0.90724708]
 [0.34816019 1.14727502]]",2.0,4036,16.0
574,575,"[[0.12568872 0.70712466]
 [1.89516796 1.4240008 ]
 [1.28605506 0.99037641]
 [1.4722486  0.9935223 ]]",2.0,4036,16.0
575,576,"[[0.44492966 0.99097589]
 [1.02139885 1.45173351]
 [0.805718   0.64446593]
 [1.68418376 1.2238512 ]]",2.0,4037,9.0
576,577,"[[0.49791007 1.49545997]
 [1.84217367 1.32210153]
 [0.38262583 0.30128214]
 [0.37483671 1.13683671]]",2.0,4037,15.0
577,578,"[[1.86252959 1.47915173]
 [0.77764254 0.37530359]
 [1.30099922 2.01509891]
 [1.9501052  0.97491453]]",2.0,4081,46.0
578,579,"[[1.22551566 0.49670821]
 [0.90595163 0.06663797]
 [1.6764428  0.86857177]
 [1.71794385 0.31891765]]",2.0,4085,50.0
579,580,"[[0.78709479 1.5506825 ]
 [0.2611269  1.67938384]
 [0.68541427 1.48877343]
 [0.93415869 0.64209597]]",2.0,4086,50.0
580,581,"[[0.4802823  0.06139937]
 [1.20457451 1.23405153]
 [1.00920431 0.2466717 ]
 [0.18224149 0.82221606]]",2.0,4086,49.0
581,582,"[[0.58327249 1.55045872]
 [1.56422972 0.90250572]
 [1.27435956 1.48496657]
 [0.35298368 1.06984959]]",2.0,4087,51.0
582,583,"[[0.93487391 0.51166889]
 [0.40811158 0.78566227]
 [1.41011718 1.34229358]
 [0.42470512 0.49341931]]",2.0,4101,20.0
583,584,"[[0.26008166 1.98899888]
 [0.96868804 1.0494237 ]
 [1.17618448 1.30718547]
 [0.49610558 0.39854292]]",2.0,4110,24.0
584,585,"[[0.846587   0.97188137]
 [1.87994906 0.58435114]
 [1.03347131 1.45386648]
 [0.15801569 1.99505338]]",2.0,4110,9.0
585,586,"[[0.40108539 0.60773935]
 [0.50782082 1.26556598]
 [1.1476734  0.08008951]
 [1.04647126 0.35301082]]",2.0,4110,24.0
586,587,"[[0.39452641 2.02662521]
 [0.87994897 0.3850824 ]
 [1.24656947 0.13582572]
 [0.15339871 0.1834527 ]]",2.0,4111,24.0
587,588,"[[1.29692014 0.12980378]
 [0.7429493  0.68032855]
 [1.14528665 1.4196382 ]
 [1.90426607 1.78553854]]",2.0,4113,28.0
588,589,"[[0.31267546 1.00967559]
 [0.82194768 0.18210859]
 [0.74622814 1.72903014]
 [1.38177344 1.57075891]]",2.0,4114,77.0
589,590,"[[0.62062567 0.04376345]
 [0.92444732 0.71289971]
 [1.87159669 0.89777947]
 [0.38733009 0.1480548 ]]",2.0,4150,40.0
590,591,"[[1.58327696 1.01525141]
 [1.83306765 1.46045318]
 [0.68847579 1.77045013]
 [1.40446833 0.63559155]]",2.0,4152,42.0
591,592,"[[0.16360946 0.81937033]
 [1.65664385 0.83710316]
 [1.39560084 0.57310843]
 [1.27269414 1.50313174]]",2.0,4158,47.0
592,593,"[[1.85666059 0.16153647]
 [1.6657149  0.15570053]
 [2.04803302 1.37647397]
 [0.60484752 1.1778964 ]]",2.0,4159,45.0
593,594,"[[1.82070927 0.99774592]
 [1.51269792 0.32502743]
 [0.88368574 1.17157539]
 [1.57503697 1.5440078 ]]",2.0,4159,9.0
594,595,"[[0.40122392 0.98119839]
 [1.40171596 1.13868603]
 [1.91421896 0.28974153]
 [1.42474344 0.08124168]]",2.0,4160,50.0
595,596,"[[0.16169148 0.98673107]
 [0.39091328 0.48259316]
 [1.06858445 0.10314106]
 [0.29754936 0.65023453]]",2.0,4160,47.0
596,597,"[[1.3376959  0.18907811]
 [1.00219279 1.55025517]
 [0.92822716 1.51840748]
 [1.24636284 0.12387307]]",2.0,4166,14.0
597,598,"[[0.90746901 0.75487797]
 [1.21089759 1.10600274]
 [0.28691423 1.63408517]
 [0.51603935 0.67846888]]",2.0,4173,14.0
598,599,"[[1.36443889 0.6565504 ]
 [1.92739473 1.96932428]
 [1.59132422 2.04177516]
 [0.15547327 1.55658483]]",2.0,4173,14.0
599,600,"[[1.73975276 0.81287436]
 [1.79209166 1.941122  ]
 [1.64904024 0.67676331]
 [1.9492051  0.08333263]]",2.0,4173,15.0
600,601,"[[1.86921487 0.10287877]
 [0.49200749 1.24812374]
 [0.5368309  1.29964036]
 [1.9866297  1.96063271]]",2.0,4174,14.0
601,602,"[[0.93278633 1.22485137]
 [0.38506766 0.35677826]
 [0.87410664 0.40692899]
 [0.25486771 1.29723963]]",2.0,4175,15.0
602,603,"[[1.17778169 0.51021825]
 [0.1085419  0.36686462]
 [1.90039369 0.36418472]
 [0.53543835 1.02580891]]",2.0,4176,10.0
603,604,"[[1.70460821 1.76897155]
 [1.96392065 0.24595694]
 [0.86438173 0.40786116]
 [1.68315515 1.13392719]]",2.0,4200,27.0
604,605,"[[0.38501732 0.23826079]
 [0.50958095 1.98292854]
 [0.75762126 0.83486342]
 [0.27979623 0.53353523]]",2.0,4202,29.0
605,606,"[[0.72728796 1.12949487]
 [1.19830766 1.08113946]
 [0.62134456 1.3267744 ]
 [0.83804102 1.36364491]]",2.0,4204,30.0
606,607,"[[0.63321367 1.66678977]
 [1.81414907 0.64035692]
 [0.12517391 1.91550972]
 [1.64000092 1.45255106]]",2.0,4205,30.0
607,608,"[[1.37329143 1.94593571]
 [0.88322406 1.75131716]
 [0.99238831 0.76264802]
 [1.43582924 1.8749517 ]]",2.0,4206,33.0
608,609,"[[1.41106431 1.3940431 ]
 [0.93871624 0.19238327]
 [0.79957044 0.43181774]
 [0.35173917 0.98014164]]",2.0,4214,8.0
609,610,"[[1.78512526 1.28549149]
 [1.8149258  1.92096492]
 [1.51924742 0.46935341]
 [0.66742043 1.52233524]]",2.0,4215,13.0
610,611,"[[0.34379924 1.16111434]
 [1.86552319 1.04935241]
 [1.95705273 1.3471336 ]
 [0.40451788 0.56521208]]",2.0,4216,12.0
611,612,"[[0.51457844 0.84192882]
 [0.12085087 0.56174967]
 [0.7282128  0.69543891]
 [0.19576534 1.1223565 ]]",2.0,4216,11.0
612,613,"[[1.84923179 0.34931744]
 [0.60958438 1.28078904]
 [1.61596456 0.36182564]
 [1.78346964 0.98821977]]",2.0,4216,16.0
613,614,"[[0.42212505 1.0709044 ]
 [1.90960612 0.96803515]
 [1.00001324 0.4824225 ]
 [1.81548653 0.37739128]]",2.0,4220,44.0
614,615,"[[1.31272965 2.03064206]
 [0.71800612 1.98266074]
 [1.99050043 1.57244141]
 [0.90466976 0.41863329]]",2.0,4223,8.0
615,616,"[[0.27322317 1.92722744]
 [1.37935715 1.95786621]
 [0.47748224 0.3562633 ]
 [0.28938174 0.53672925]]",2.0,4225,9.0
616,617,"[[0.70335201 0.13936335]
 [0.17107145 0.93449873]
 [1.48602667 0.80465823]
 [0.43431745 1.42137873]]",2.0,4225,11.0
617,618,"[[1.73576102 0.4800615 ]
 [1.30989346 0.22190757]
 [0.45305469 0.6784313 ]
 [0.9001029  1.38739559]]",2.0,4226,10.0
618,619,"[[1.15426947 1.79599562]
 [0.0732334  0.31924639]
 [0.57674245 0.7878776 ]
 [1.07915476 0.78571138]]",2.0,4226,10.0
619,620,"[[1.11186753 0.40939563]
 [0.94966394 0.84995692]
 [1.33167528 1.54851958]
 [1.99260809 1.52265011]]",2.0,4231,11.0
620,621,"[[1.99553685 0.96684586]
 [1.68455122 1.42212288]
 [1.37518748 0.779043  ]
 [1.93969773 0.34754567]]",2.0,4233,10.0
621,622,"[[1.68091971 1.21344125]
 [1.96675188 2.02966689]
 [1.54664665 0.19232459]
 [0.83566504 0.23918188]]",2.0,4234,9.0
622,623,"[[1.55714239 0.50616046]
 [1.30947931 1.60432806]
 [0.53654649 0.97624148]
 [0.58803737 1.9584379 ]]",2.0,4235,9.0
623,624,"[[0.51956708 1.8265094 ]
 [1.51036216 1.42492891]
 [0.59718462 1.79775626]
 [0.94999645 0.20279395]]",2.0,4235,10.0
624,625,"[[1.53350321 0.28717353]
 [1.90405856 1.94259504]
 [1.77204644 1.47929045]
 [1.08017339 0.76440031]]",2.0,4235,9.0
625,626,"[[0.25888912 0.27933896]
 [0.17252694 0.99813311]
 [1.38478161 1.74876707]
 [0.26414454 0.28559514]]",2.0,4241,10.0
626,627,"[[1.58945494 1.76273843]
 [1.70996241 1.39579467]
 [0.4355442  0.68658201]
 [0.49730901 1.37272028]]",2.0,4242,9.0
627,628,"[[0.13724695 0.34272805]
 [1.62441291 1.24780986]
 [0.96974538 1.3107542 ]
 [1.9619882  1.26833045]]",2.0,4243,8.0
628,629,"[[0.68201253 0.97931471]
 [1.24488256 0.73150273]
 [0.66431204 0.91038748]
 [1.93204937 1.31380972]]",2.0,4243,9.0
629,630,"[[1.18597622 0.74509512]
 [0.26614137 0.29841946]
 [0.88340332 1.66272741]
 [1.65646503 0.10342736]]",2.0,4245,10.0
630,631,"[[0.08563462 1.51853372]
 [1.33297954 0.33779355]
 [1.12152341 2.02721835]
 [1.42938486 0.21232128]]",2.0,4245,10.0
631,632,"[[0.16391022 0.80550485]
 [1.68104769 0.93067191]
 [1.04224245 0.20134207]
 [1.84278413 0.80992604]]",2.0,4252,10.0
632,633,"[[0.1676411  1.3560965 ]
 [0.80076601 1.08995761]
 [1.84315524 1.27530743]
 [0.89821318 0.35966346]]",2.0,4252,9.0
633,634,"[[0.16790936 1.0257015 ]
 [0.88974637 0.8394453 ]
 [1.4782743  1.84213735]
 [1.57808808 0.67442982]]",2.0,4252,11.0
634,635,"[[0.25495142 0.98750284]
 [1.32357913 1.40805223]
 [1.73790253 0.69818092]
 [0.82355604 1.26607529]]",2.0,4253,10.0
635,636,"[[1.27618399 1.93982141]
 [0.45953128 0.13789922]
 [0.68102258 1.03352059]
 [1.35008659 1.81538363]]",2.0,4255,10.0
636,637,"[[0.56191004 1.90578323]
 [0.8362779  1.65137429]
 [1.83988874 1.83698232]
 [1.16878357 0.54237714]]",2.0,4255,10.0
637,638,"[[0.87705554 1.09005394]
 [1.84365482 1.409353  ]
 [1.25376425 1.99895985]
 [0.90164149 1.56844396]]",2.0,4262,10.0
638,639,"[[1.94355598 0.87842385]
 [0.91755973 1.81851613]
 [0.57637049 1.72668942]
 [1.35181916 0.78520522]]",2.0,4262,10.0
639,640,"[[1.46677793 0.12234689]
 [1.05183257 1.0065214 ]
 [0.80028675 0.75544796]
 [0.15711153 1.9760799 ]]",2.0,4263,10.0
640,641,"[[1.37309198 0.27190815]
 [1.94299488 0.97550204]
 [0.94122127 1.91313971]
 [1.25350723 1.38554418]]",2.0,4263,11.0
641,642,"[[1.56884473 0.07676301]
 [1.04531736 1.75078987]
 [0.13508311 0.65351926]
 [0.35730106 1.27423803]]",2.0,4264,9.0
642,643,"[[1.68397346 1.79934072]
 [1.73520733 1.82286332]
 [1.02047532 0.24148703]
 [0.71114818 1.64843964]]",2.0,4265,10.0
643,644,"[[1.34454393 1.98940668]
 [0.52086859 1.78847782]
 [1.77127766 1.30739596]
 [0.29877194 1.72786829]]",2.0,4382,117.0
644,645,"[[1.08243907 0.94871644]
 [1.2240443  0.40102817]
 [1.86010755 1.62121021]
 [0.06915988 1.52152655]]",2.0,4388,126.0
645,646,"[[1.11841532 1.98333553]
 [1.0095134  1.61333852]
 [0.96790502 0.41225276]
 [1.07134814 1.85768798]]",2.0,4388,124.0
646,647,"[[0.41905017 1.46374055]
 [0.50920527 1.73744013]
 [0.06510548 0.75788054]
 [0.97157541 0.86937626]]",2.0,4389,127.0
647,648,"[[0.70292828 1.50471623]
 [0.81660435 0.58621405]
 [1.26228335 0.08228939]
 [1.02471731 1.66804052]]",2.0,4390,127.0
648,649,"[[1.25335463 0.98579932]
 [0.6024356  1.56072873]
 [1.41526959 0.82929715]
 [0.28913539 1.67345042]]",2.0,4391,128.0
649,650,"[[0.12121033 1.2771033 ]
 [1.7495319  1.29095106]
 [1.39057815 0.94056392]
 [0.68380907 0.96098546]]",2.0,4520,132.0
650,651,"[[0.35021501 0.43501111]
 [1.64292627 1.66090639]
 [0.70196308 1.90558726]
 [1.67487737 1.31252651]]",2.0,4522,140.0
651,652,"[[1.06875209 0.19625643]
 [0.35299509 1.75707265]
 [1.88541506 0.30965379]
 [1.97130961 0.91793359]]",2.0,4527,137.0
652,653,"[[0.57877523 0.83745816]
 [1.86583063 0.28567637]
 [1.96400319 1.10682071]
 [0.35649774 0.73395609]]",2.0,4529,140.0
653,654,"[[0.90913397 1.52407108]
 [1.95294483 1.51022086]
 [0.21287747 0.43270259]
 [1.79210572 1.56279812]]",2.0,4530,139.0
654,655,"[[0.75872898 0.35661418]
 [0.78389655 1.13496454]
 [1.61704631 1.50429197]
 [1.44206298 0.92383396]]",2.0,4531,11.0
655,656,"[[1.95101546 1.07977629]
 [1.70793786 0.43169328]
 [1.92197716 0.51975448]
 [0.59189816 0.79819963]]",2.0,4532,144.0
656,657,"[[1.81111063 0.08493947]
 [0.6799571  0.30144285]
 [1.42543776 1.40616263]
 [0.77415173 1.82773729]]",2.0,4534,12.0
657,658,"[[0.72282742 2.00237542]
 [1.12855877 1.82263656]
 [0.29196319 0.52861893]
 [0.30053914 0.97503244]]",2.0,4583,56.0
658,659,"[[0.24026083 1.69499596]
 [0.34428948 1.2758358 ]
 [0.41374129 0.18516558]
 [1.73728785 1.12306704]]",2.0,4584,50.0
659,660,"[[0.21533466 0.424977  ]
 [0.37733854 1.53125129]
 [0.44296674 0.28000566]
 [1.68554869 1.05040173]]",2.0,4584,55.0
660,661,"[[0.27016575 2.01356431]
 [0.08036685 1.80608764]
 [0.96666906 0.10844386]
 [1.41231196 0.91724761]]",2.0,4593,10.0
661,662,"[[1.62354785 0.9822811 ]
 [0.62982107 1.18477696]
 [0.82129504 1.66510969]
 [1.68325138 0.88940401]]",2.0,4593,9.0
662,663,"[[0.05388121 1.22462781]
 [0.75930088 1.89781792]
 [1.71343119 1.07636091]
 [0.33845521 0.65205351]]",2.0,4593,62.0
663,664,"[[1.60036066 0.99983512]
 [1.91519932 1.02730536]
 [0.82393047 1.81715944]
 [0.3381267  0.39222935]]",2.0,4594,10.0
664,665,"[[0.71349154 1.25790936]
 [1.04485791 1.70654314]
 [0.18299408 0.18987848]
 [0.36966859 1.82050049]]",2.0,4594,62.0
665,666,"[[1.54893843 0.23113837]
 [1.07538451 1.50375382]
 [0.601522   0.68635911]
 [1.07007624 1.44441755]]",2.0,4594,64.0
666,667,"[[0.70346874 1.21164359]
 [1.67880157 1.51807622]
 [1.28035814 0.19172212]
 [0.9126048  0.17748408]]",2.0,4668,75.0
667,668,"[[1.2356679  1.36173872]
 [1.79173143 0.87017798]
 [1.88295171 0.83503187]
 [1.72541658 0.41164004]]",2.0,4673,80.0
668,669,"[[1.1077361  0.66987981]
 [1.22805361 0.30078477]
 [2.02003546 2.00944976]
 [1.77679383 0.89654049]]",2.0,4674,80.0
669,670,"[[0.41574306 1.53145935]
 [0.9877733  1.08307975]
 [1.99464968 0.73241817]
 [1.75005402 0.55353733]]",2.0,4675,81.0
670,671,"[[0.56233259 1.71977893]
 [1.71236993 0.54915206]
 [0.39955254 0.88370856]
 [1.76656443 1.42909847]]",2.0,4675,82.0
671,672,"[[1.4134397  1.91540961]
 [1.99382121 0.56072875]
 [1.5849056  1.29632571]
 [0.96763261 1.73289297]]",2.0,4677,9.0
672,673,"[[1.56657587 0.50984927]
 [1.52645526 1.31233562]
 [0.98547891 1.23795801]
 [1.84238501 1.11780921]]",2.0,4679,85.0
673,674,"[[1.1627652  1.94191864]
 [0.46113206 0.37325264]
 [1.03529702 0.53164952]
 [0.45965918 2.03115076]]",2.0,4687,12.0
674,675,"[[0.4308564  1.11129272]
 [1.70576781 1.60428582]
 [1.27539614 0.55930021]
 [0.23124015 0.96873952]]",2.0,4688,15.0
675,676,"[[0.57004345 1.83371146]
 [0.67680769 0.11030663]
 [0.13893742 1.99387905]
 [0.95926758 1.94605898]]",2.0,4688,13.0
676,677,"[[0.33746657 1.66986071]
 [0.50835092 0.77496391]
 [2.04001063 0.09557069]
 [0.96917272 1.60888875]]",2.0,4689,15.0
677,678,"[[1.63731445 1.85903275]
 [1.08856091 1.15985233]
 [1.42205614 0.29040797]
 [1.91799918 0.67413468]]",2.0,4689,10.0
678,679,"[[0.16393498 1.21132486]
 [0.19831547 0.18955107]
 [0.10391968 0.3208035 ]
 [0.81792891 1.46385967]]",2.0,4690,13.0
679,680,"[[1.4879679  0.92014285]
 [0.07941478 1.3057211 ]
 [1.49368901 0.95345521]
 [0.18725028 0.26817602]]",2.0,4749,60.0
680,681,"[[1.33651901 1.71937915]
 [0.75569794 1.85244103]
 [0.97313008 0.74751705]
 [1.46543105 1.13702422]]",2.0,4755,66.0
681,682,"[[1.34717134 1.86650626]
 [1.95374999 2.00324226]
 [1.7427208  0.90748065]
 [2.0234613  0.19384259]]",2.0,4756,68.0
682,683,"[[2.0345404  0.41434223]
 [0.31007295 1.3719013 ]
 [0.53638637 1.55142889]
 [1.64334482 1.40375923]]",2.0,4757,69.0
683,684,"[[1.02218581 2.02620979]
 [0.8878412  1.82528183]
 [1.1523473  1.68106313]
 [1.66813469 1.47202435]]",2.0,4758,9.0
684,685,"[[0.20228505 1.50403357]
 [1.46111336 0.38574095]
 [1.09791704 0.91374021]
 [1.86927093 1.3756636 ]]",2.0,4758,68.0
685,686,"[[1.43335672 1.90413133]
 [0.29633691 0.12305951]
 [0.29569336 0.82909122]
 [0.39470698 0.40195198]]",2.0,4770,12.0
686,687,"[[1.36797737 1.30660565]
 [1.36048761 1.75159925]
 [0.67187976 0.12112485]
 [0.42594008 1.93594082]]",2.0,4772,14.0
687,688,"[[1.15957365 1.12857621]
 [0.9293828  0.49007874]
 [1.62253542 1.47093585]
 [0.69125407 1.86231677]]",2.0,4773,86.0
688,689,"[[0.75392258 0.64841429]
 [1.60735023 1.08545333]
 [0.65857937 0.6340907 ]
 [0.02924074 1.64942238]]",2.0,4786,31.0
689,690,"[[0.49000687 1.43518885]
 [1.07781475 1.9551555 ]
 [1.09132639 0.49098828]
 [0.8601739  0.81864878]]",2.0,4804,48.0
690,691,"[[1.17466395 1.74654876]
 [1.13147868 0.42108315]
 [0.42676787 0.53918527]
 [1.40016772 0.92805441]]",2.0,4812,42.0
691,692,"[[0.59524511 1.42841718]
 [2.02651213 0.93194692]
 [0.38643705 0.25605255]
 [0.0584876  1.371945  ]]",2.0,4812,8.0
692,693,"[[1.00599805 0.51587167]
 [0.7837545  0.06616476]
 [0.64125346 1.00534493]
 [1.04681886 1.10098503]]",2.0,4813,27.0
693,694,"[[1.41180547 0.19054914]
 [0.05352658 0.44752115]
 [1.05749656 1.07676415]
 [0.41979267 1.94733312]]",2.0,4814,42.0
694,695,"[[1.23089938 1.38348296]
 [1.05538193 1.07214362]
 [1.22475782 0.39862587]
 [0.04115582 0.62988881]]",2.0,4817,44.0
695,696,"[[1.85238383 0.56280621]
 [0.63642497 1.47053263]
 [0.49350376 0.39327537]
 [1.34699607 1.32492266]]",2.0,4836,79.0
696,697,"[[1.14447498 1.63892641]
 [1.82370491 0.36159914]
 [1.56533934 1.42747747]
 [1.83820274 1.12836801]]",2.0,4843,31.0
697,698,"[[1.04146666 1.07775241]
 [1.85100744 0.17761535]
 [0.85314867 1.02302265]
 [1.93698978 0.5727366 ]]",2.0,4845,33.0
698,699,"[[0.58148041 0.85812948]
 [0.06372838 1.37863265]
 [1.08715634 0.21714807]
 [1.3390411  1.02352246]]",2.0,4846,10.0
699,700,"[[1.60581038 1.03092767]
 [2.00679155 2.01137224]
 [1.19568399 2.02755597]
 [0.80375763 0.45201038]]",2.0,4848,35.0
700,701,"[[1.03398164 0.73511008]
 [0.87913834 0.49037881]
 [1.71616963 1.87996515]
 [1.95925428 0.50981731]]",2.0,4851,34.0
701,702,"[[0.87603864 0.71795901]
 [0.07361507 0.45571645]
 [1.37084284 1.9211859 ]
 [0.58847008 0.54353053]]",2.0,4851,37.0
702,703,"[[0.80996148 1.73646213]
 [1.853112   1.09759301]
 [0.69618294 0.54726697]
 [1.38719438 1.40422489]]",2.0,4854,11.0
703,704,"[[1.83453491 0.7483468 ]
 [1.29075302 0.55325204]
 [0.36041222 0.49988958]
 [1.78707569 1.61853058]]",2.0,4855,10.0
704,705,"[[1.64387642 1.07681295]
 [1.62379646 1.042606  ]
 [1.62069511 0.8600889 ]
 [1.04801813 0.29582659]]",2.0,4855,9.0
705,706,"[[0.10100494 1.50462728]
 [1.58170083 0.10310281]
 [0.35507642 0.39903126]
 [1.83795632 1.44202118]]",2.0,4858,10.0
706,707,"[[1.3790825  0.40971431]
 [1.77930847 0.6629198 ]
 [0.25347163 1.26195357]
 [0.55328362 0.36772683]]",2.0,4868,17.0
